Year,Month,Platform,Region,Genre,Song Type,Age Group (18-24),Age Group (25-34),Age Group (35-44),Age Group (45-54),Age Group (55+),Male (%),Female (%),Device Type,Monthly Active Users (MAU),Monthly Streams,Revenue (USD),ARPU (USD),Paid Subscribers (%),Free Subscribers (%),Likes,Shares,Comments,Peak Streaming Hours (UTC),Churn Rate (%)
2024,01,Amazon Music,Japan,Rock,EP,2182,3738,2791,2760,1827,43,57,Desktop,149126,234401,51051,4.378380509891127,13,87,1573,4594,640,21:00,17.747913868466416
2023,12,Apple Music,Africa,Jazz,EP,2288,2615,2886,2203,703,42,58,Tablet,244363,490758,94228,9.697596847442464,35,65,3957,4333,2223,18:00,34.27732585194454
2024,07,Spotify,South America,Pop,Single,1398,3452,3385,1660,1081,57,43,Desktop,410639,337813,97922,7.866657048023291,55,45,2992,4294,2210,00:00,33.86765983292747
2024,11,Amazon Music,South America,Hip-Hop,EP,2027,3062,2605,2233,2171,45,55,Mobile,363032,120181,167074,3.856916894388466,63,37,3852,1170,1747,00:00,15.606447174173269
2020,05,YouTube,Asia,Pop,Album,2697,2445,3370,2965,1858,62,38,PS5,141673,488700,51647,8.520008460257175,6,94,4330,3367,1310,06:00,41.57952387889711
2020,09,YouTube,Africa,Hip-Hop,Single,1919,2842,1950,1773,1236,59,41,Desktop,218893,228050,95005,4.167069767005452,54,46,3470,312,2060,21:00,8.434417383550592
2022,01,Amazon Music,India,Rock,Album,2605,2815,1559,1939,1273,59,41,Desktop,121729,111887,124244,4.179304733015446,58,42,1901,4060,3721,21:00,36.998414249917396
2020,10,Amazon Music,Japan,Rock,Single,1479,3583,2330,1863,747,35,65,PS5,219545,226236,178128,16.442722614026813,55,45,899,4331,4881,06:00,12.273729700250964
2020,02,YouTube,Asia,Electronic,Album,2006,2291,2301,1210,1784,56,44,PS5,357329,249849,182115,12.149462455506809,36,64,401,4741,1643,21:00,35.807380272148066
2022,08,Apple Music,Asia,Hip-Hop,EP,1002,2985,2172,1030,1986,39,61,PS5,351085,186731,188403,4.615563587839442,6,94,218,2260,3970,21:00,23.595656468813736
2024,02,Spotify,Japan,Jazz,Album,1683,2256,2882,1611,1677,55,45,Tablet,204109,103937,90581,14.152498662144316,12,88,3014,132,2864,00:00,9.505540159255915
2024,03,Apple Music,North America,Classical,Album,2240,2937,1917,2748,1325,42,58,Tablet,422618,423230,127764,9.57999296907746,6,94,4597,1991,2608,12:00,16.056629693838786
2022,11,Apple Music,Europe,Classical,Album,1635,2158,2464,1559,2436,47,53,Desktop,170789,233671,86492,4.442476424257881,66,34,1972,2312,678,18:00,8.615884334561022
2022,08,Apple Music,Asia,Pop,Single,1609,2565,2025,1732,1066,48,52,PS5,418253,311384,88784,11.306125683890988,8,92,954,4904,1721,18:00,46.02523325005705
2019,07,Amazon Music,South America,Pop,Single,1306,2966,3018,2885,2162,38,62,PS5,301933,288903,194115,7.769002174488654,53,47,3549,3590,3653,18:00,24.36950004806317
2020,07,Spotify,India,Pop,Single,1671,3281,2617,1416,2194,58,42,PS5,111540,316356,74438,1.0111562149656197,9,91,3170,3097,1261,00:00,29.27791442881293
2020,08,Amazon Music,North America,Hip-Hop,EP,2946,2857,2257,2174,599,42,58,Desktop,159978,256280,195378,14.643746448006333,41,59,324,315,440,12:00,17.00801371657643
2020,06,YouTube,Asia,Electronic,Single,1344,3433,2034,2452,2283,47,53,Mobile,267978,344939,150707,7.605236794660993,29,71,4599,3429,1950,00:00,13.041225133545082
2022,12,Spotify,North America,Jazz,Album,1134,2562,2531,2067,974,48,52,Tablet,413413,375644,90653,18.391588589400882,36,64,1581,2471,4617,18:00,45.91565039858886
2019,02,Amazon Music,Africa,Hip-Hop,Album,2931,2181,2352,1364,1559,38,62,Mobile,179896,395844,177715,6.312582598286697,45,55,3531,2973,3980,12:00,46.38326110811557
2019,12,Amazon Music,Japan,Pop,Single,2212,3298,1663,1700,2123,47,53,PS5,157358,463816,79593,10.98612442786354,35,65,4739,2623,1848,00:00,31.39247235107565
2020,10,Spotify,South America,Classical,Album,2415,3988,1968,1383,2358,43,57,Tablet,298845,328418,145490,17.365657641669593,53,47,4672,3068,4329,06:00,46.07938999754254
2022,05,Apple Music,Japan,Pop,Single,1386,3155,2938,2659,946,37,63,PS5,381671,431739,101745,1.7220913195861232,59,41,1195,1400,4676,12:00,46.503027498820344
2022,03,YouTube,South America,Classical,Album,1771,3159,1985,2606,1409,40,60,Desktop,414675,419510,177723,7.15959856521876,18,82,1973,2061,3417,12:00,26.36348332727665
2020,07,YouTube,South America,Electronic,Single,1836,3404,2509,2004,2361,37,63,Mobile,428594,169741,120677,11.85672630821519,58,42,3823,448,2312,06:00,17.754741180391648
2019,06,YouTube,Europe,Classical,Album,1153,2236,2057,2489,1702,58,42,Tablet,262570,397512,80086,4.425922021682516,41,59,2172,2175,1496,12:00,47.69819156926929
2019,07,Apple Music,South America,Classical,Album,1151,2996,2563,1754,1419,49,51,Mobile,389503,455053,57238,16.420113993324094,17,83,242,1361,2864,21:00,10.241467156315673
2023,03,Amazon Music,Japan,Pop,Single,1275,2856,3240,1144,1411,56,44,PS5,297681,485740,183224,7.043828192386746,5,95,3275,1856,3188,21:00,25.839505200326762
2020,04,Amazon Music,North America,Pop,Single,2093,2615,1790,2188,1959,40,60,Mobile,330025,426927,161385,4.869743555873244,57,43,796,3991,3183,21:00,18.417734559994294
2023,08,Apple Music,Japan,Rock,Album,2294,3890,3346,1132,894,53,47,Tablet,331837,187893,98465,5.053278275250117,54,46,3000,3353,1112,18:00,44.64600650205319
2019,10,YouTube,Africa,Rock,Album,2862,2881,2349,1597,589,54,46,Tablet,320888,109291,143742,11.054028287930382,53,47,1130,443,2237,12:00,23.391841403836285
2022,10,Apple Music,South America,Pop,Single,1753,3256,2164,1451,1917,36,64,Mobile,306839,100233,89752,7.883152321081669,27,73,1289,2612,995,12:00,45.261973625065984
2019,07,Spotify,North America,Classical,Album,1602,3947,2320,1960,2475,41,59,Tablet,312459,336594,107653,17.322033787213982,39,61,2615,2382,1638,06:00,18.02360448634879
2020,11,Spotify,Africa,Hip-Hop,Single,2504,3161,1954,1513,974,53,47,PS5,456937,354365,65946,19.211776429069047,27,73,665,4838,3432,21:00,28.33874049712653
2022,06,Apple Music,Japan,Classical,Album,1553,2705,2081,1261,2044,37,63,Mobile,238593,233439,195234,4.859523297236601,15,85,412,3116,494,12:00,45.07345808598867
2022,08,Apple Music,Asia,Jazz,Single,1497,3316,2631,1759,1029,61,39,Mobile,351503,428010,74096,8.562122845824987,31,69,2022,1333,4025,18:00,47.689554955966045
2022,05,Apple Music,South America,Jazz,EP,1973,2107,2492,2358,1932,39,61,Desktop,238860,446013,108353,2.0577082920510694,22,78,695,3431,1616,06:00,24.015311558895
2019,08,Amazon Music,Asia,Pop,EP,2510,3273,2664,1263,1469,59,41,Desktop,261149,144768,127074,16.95062127769684,28,72,3134,2988,3632,12:00,29.592295886489772
2024,12,Spotify,Asia,Electronic,Single,1653,2667,2539,1694,916,64,36,Tablet,178200,132624,198601,12.043658913274664,21,79,961,2891,2836,21:00,23.5840803533231
2019,10,Apple Music,South America,Rock,Album,1685,3027,3283,1682,884,59,41,Tablet,152915,245880,67513,11.50942322022699,52,48,535,3253,2197,12:00,39.710653009080616
2024,04,Amazon Music,Africa,Jazz,Single,2381,3735,2787,1479,872,50,50,Tablet,380869,349661,151133,4.006792770591376,43,57,2891,1295,4737,12:00,41.080687667958216
2023,11,Amazon Music,India,Pop,EP,1112,2278,3404,1960,2105,35,65,Mobile,459246,174043,142526,2.605646512724708,68,32,1656,1856,1566,18:00,36.99703694533249
2024,09,Spotify,North America,Hip-Hop,EP,2400,3120,2994,2116,1537,38,62,PS5,296123,136665,114831,4.129230420217219,44,56,3920,3508,839,06:00,17.175510195499847
2023,07,Apple Music,Japan,Pop,EP,2017,2003,2778,2752,1243,37,63,PS5,230349,146893,80541,15.264074566677404,21,79,3770,4413,974,00:00,49.65762516796232
2020,03,Spotify,Japan,Electronic,EP,2766,3051,1817,1768,533,58,42,PS5,310570,246075,149775,6.058983864333591,58,42,4499,2926,798,21:00,11.002764938334206
2024,04,Spotify,North America,Hip-Hop,Single,1001,3190,2411,2935,612,45,55,Tablet,282756,285232,152645,1.3147508951270594,20,80,3525,3964,1234,12:00,12.217012587756475
2022,12,YouTube,South America,Classical,Album,2550,3288,2154,2267,1795,46,54,PS5,124965,127304,197804,5.689779452070561,49,51,1656,405,4096,06:00,28.73943415343102
2023,06,Apple Music,Asia,Hip-Hop,EP,2114,3110,2701,2467,2069,63,37,Mobile,405428,418136,101814,6.191494688898682,35,65,2169,2658,603,18:00,36.60448492960019
2022,10,Apple Music,South America,Hip-Hop,Album,1619,3209,2843,1230,850,43,57,Desktop,375500,434974,169653,9.268852898961189,17,83,2525,4300,3479,06:00,46.897815173495424
2022,02,Amazon Music,Japan,Rock,EP,1886,2531,2622,1483,1190,63,37,Tablet,380931,405601,75712,7.7666399500847705,29,71,2678,3186,4008,00:00,28.75278135098223
2019,11,Apple Music,Japan,Electronic,EP,1152,3799,2406,2395,1532,42,58,Desktop,318807,166014,102383,19.15754897200691,20,80,2123,2440,3213,06:00,19.06418732689427
2024,06,Spotify,Africa,Rock,EP,1591,2214,2259,1301,1440,63,37,Desktop,382688,211829,130818,4.5805989399761415,9,91,2120,1795,2023,18:00,14.443396089252184
2020,02,YouTube,Europe,Pop,EP,1364,3156,2727,2764,1117,38,62,Desktop,150211,305789,108081,3.5280710338602628,29,71,2602,1008,3811,21:00,49.8094210712602
2022,02,Spotify,South America,Electronic,Album,2247,2898,3396,2859,623,54,46,PS5,192485,322249,122529,10.263933311242708,48,52,2278,2259,1466,12:00,44.234481716686
2020,10,YouTube,Asia,Rock,EP,2882,3683,3185,2795,2493,43,57,PS5,345526,457299,62824,8.471610845184808,16,84,4598,3168,728,21:00,29.931991554421284
2024,12,Amazon Music,Africa,Classical,Single,2896,3577,3408,2571,2412,39,61,Mobile,342955,170567,76121,15.580908878495912,65,35,2879,1213,3786,00:00,24.069712205049385
2022,01,YouTube,India,Pop,EP,2815,2503,3414,2243,1587,41,59,PS5,262851,242547,102634,1.7484904561686496,59,41,2738,3738,4936,21:00,17.682688972727444
2022,07,Apple Music,India,Classical,EP,1035,2702,2457,2279,1118,58,42,Mobile,413624,183203,120453,12.511786645270853,59,41,837,224,3586,06:00,40.59302638903585
2023,05,YouTube,Japan,Electronic,Single,1800,2039,3213,2810,929,50,50,Tablet,403628,234772,142992,1.143243232232749,61,39,983,4888,1491,00:00,44.619816293432876
2020,10,Amazon Music,Africa,Hip-Hop,Single,2992,3825,3351,1217,2123,62,38,Mobile,197572,258718,83017,4.715906478088259,58,42,3802,2149,481,00:00,11.249041481943525
2022,02,Spotify,Japan,Rock,Album,2889,3768,3432,1649,902,36,64,Tablet,215288,470978,170788,1.0453160686540521,21,79,2583,3140,1287,12:00,35.74155583986182
2020,01,YouTube,Asia,Classical,Single,1624,3774,1638,1199,2395,45,55,Tablet,469552,256276,195944,6.225138523192438,6,94,1571,167,2713,18:00,43.3262469435975
2022,11,YouTube,Asia,Classical,Album,2778,2340,2035,2455,1179,55,45,Desktop,186970,339425,129073,5.587711990443585,25,75,4779,4129,2771,12:00,38.88056145327883
2023,11,Apple Music,North America,Classical,Single,2652,3040,2167,2076,726,64,36,PS5,490818,186744,136849,2.147887576517788,57,43,2500,1134,2912,18:00,29.312047676719146
2022,01,Amazon Music,Africa,Electronic,Single,1468,2345,2916,2129,525,43,57,Desktop,246244,224859,72766,15.318030154901374,54,46,4966,474,1033,18:00,32.35388352293751
2024,07,Apple Music,North America,Jazz,Single,2874,3847,2495,1549,2173,43,57,PS5,176792,388168,71975,12.931460071002261,32,68,2780,1564,628,00:00,42.75781759481785
2024,08,Apple Music,Europe,Classical,Album,2576,3893,1906,1927,839,57,43,PS5,167747,385634,164591,19.92926065081033,7,93,1290,1422,2882,12:00,15.278983770216517
2023,04,Spotify,Africa,Electronic,Single,1406,2740,1668,1947,2127,51,49,Desktop,259203,218341,152308,19.931116361714757,54,46,2960,3372,3688,00:00,28.87607183882599
2022,07,Apple Music,Europe,Classical,Album,1236,2862,2696,2706,703,49,51,PS5,406444,108935,195890,6.369690044524597,47,53,1736,2622,4718,06:00,13.52416307743258
2023,09,YouTube,Asia,Jazz,Single,1109,2948,2471,2691,881,38,62,Desktop,212147,389795,148037,11.676029245362791,37,63,4681,3111,574,18:00,30.339715211407476
2023,11,YouTube,Asia,Pop,EP,2509,3036,1707,1662,2183,50,50,PS5,161202,381716,120467,19.527971467275098,8,92,1741,3607,2108,12:00,26.37729731720773
2020,05,Apple Music,Asia,Pop,Single,1706,2804,1649,2892,540,58,42,PS5,356865,470485,142104,17.423644225712064,43,57,1383,1961,2965,00:00,33.08740111757456
2022,07,YouTube,North America,Classical,EP,1503,3113,2610,1512,1399,57,43,Desktop,411786,141988,65037,14.519594810941838,21,79,3644,2898,728,18:00,45.709996723305295
2019,06,Apple Music,Japan,Electronic,Album,2439,3410,1620,1129,2046,41,59,PS5,284803,216200,141617,3.4080611774569243,28,72,4828,4733,4934,06:00,45.83060418638445
2022,03,Amazon Music,India,Pop,Single,1943,2270,2737,2080,793,37,63,Tablet,328232,317352,61944,8.806622206498796,52,48,1748,2665,4642,21:00,42.62306242653619
2022,06,Apple Music,North America,Electronic,EP,2452,2229,2143,2594,1934,36,64,Mobile,374239,361872,127950,18.52298769600704,17,83,4038,131,3477,12:00,9.012813916119995
2024,02,Spotify,North America,Rock,EP,2307,2762,1958,2885,1517,59,41,PS5,306157,118760,123386,17.112662866340486,50,50,3903,372,4613,18:00,26.064482100552524
2023,11,Spotify,Asia,Hip-Hop,Album,1801,2280,2936,1348,2186,40,60,Mobile,487568,298534,98397,18.936732663847973,18,82,4194,3116,4688,00:00,29.516070384638397
2019,07,Apple Music,South America,Pop,Album,1817,3445,1742,1697,962,42,58,PS5,450845,137378,60718,15.267850851701883,48,52,3694,4914,3275,12:00,14.705478666721584
2023,12,Amazon Music,North America,Jazz,Single,1685,3934,1656,1792,2008,36,64,Mobile,267866,255869,82473,14.176396673126517,39,61,1739,523,3885,12:00,36.99741733392238
2023,01,YouTube,North America,Classical,Single,1017,2813,2763,1050,1763,46,54,Tablet,161191,406133,127234,1.399162708602925,16,84,145,4321,2733,18:00,46.25339588476733
2019,05,Spotify,India,Jazz,Album,2387,3389,1760,1806,1094,62,38,Mobile,317957,180352,58364,15.093286751387616,16,84,3018,2274,2524,18:00,12.971478276078708
2022,03,Spotify,Asia,Electronic,EP,2927,3248,1699,1879,2302,58,42,Mobile,373699,262479,148529,1.9385394986161812,62,38,3694,3675,2224,18:00,25.75709216970623
2020,04,Apple Music,Europe,Classical,EP,1124,3343,2537,2841,941,40,60,Tablet,411205,462363,133350,14.120906773239053,29,71,2289,2351,1317,00:00,23.412831407320358
2020,10,Apple Music,Asia,Hip-Hop,Album,1402,2158,1505,1452,1304,63,37,PS5,408207,152043,123105,15.722825512306708,23,77,932,1673,3077,12:00,48.0376871536685
2019,02,YouTube,Africa,Hip-Hop,EP,1695,2230,2053,2532,1267,51,49,Mobile,103528,105231,129129,15.9356097593534,19,81,1710,1016,3328,06:00,48.7864427366674
2022,11,Amazon Music,Africa,Classical,Single,2507,3872,3270,1356,689,45,55,Mobile,169353,123750,197106,18.677292311115295,55,45,469,1883,3352,18:00,6.370001947434396
2023,08,Amazon Music,South America,Electronic,Album,2055,2885,2424,2975,1352,51,49,PS5,241232,315148,100651,10.276597863629688,9,91,830,4741,3971,06:00,48.836332748364256
2020,09,Amazon Music,Africa,Jazz,Album,1174,3405,2821,1857,1716,36,64,Mobile,167192,219093,76921,5.610578361590604,47,53,2921,537,1616,00:00,41.313206944859786
2024,05,Amazon Music,South America,Jazz,Album,2095,3134,3446,2315,799,60,40,Mobile,433904,254524,137208,7.137417146233652,46,54,694,2664,3906,00:00,39.97217416342951
2022,08,Amazon Music,North America,Jazz,Album,1131,2408,2148,1758,1489,44,56,Desktop,212277,106367,162010,17.364409403886796,64,36,299,4941,2782,18:00,8.983235566297463
2019,09,Apple Music,Japan,Jazz,Album,1340,2853,1720,2798,944,45,55,Tablet,194324,399733,143784,9.270067603972862,16,84,271,4358,1909,12:00,20.532915500433827
2022,02,Amazon Music,Africa,Electronic,Single,1545,2684,3270,1463,1081,40,60,Desktop,303423,257053,72097,18.355563528363096,48,52,1325,304,1923,21:00,9.035789844687605
2019,08,Apple Music,Africa,Electronic,Album,1515,3119,2994,2533,1363,50,50,Tablet,458402,185544,109768,13.858686673873798,38,62,724,4538,3959,21:00,47.03260347707889
2019,08,Apple Music,Japan,Electronic,EP,1593,3425,1736,1503,936,46,54,PS5,466237,288418,158598,19.03138685726984,13,87,2625,3812,4106,18:00,6.201174147316971
2019,01,Apple Music,India,Jazz,EP,2946,2411,2246,2974,2474,42,58,Tablet,447196,152908,50279,10.053501401754993,39,61,4144,4861,4911,12:00,31.001840783653343
2023,08,Apple Music,Africa,Pop,EP,1332,3171,2939,1491,618,64,36,PS5,103171,382779,76749,13.411690368398737,14,86,3833,3952,368,21:00,17.775474397761823
2019,11,Apple Music,Japan,Classical,EP,2762,2164,2711,1909,806,39,61,PS5,226924,378210,105407,6.0312086080836025,60,40,1645,3117,3645,21:00,43.55058820683699
2019,03,YouTube,Africa,Hip-Hop,Album,2731,3673,1940,1079,607,55,45,PS5,423239,364919,97275,7.0274118735796804,53,47,1503,3703,2253,12:00,8.992119415373018
2019,09,YouTube,Africa,Rock,Album,2897,3821,3171,1157,795,55,45,PS5,320951,227074,51327,13.885306233430033,54,46,3736,2194,1516,00:00,44.384258537948035
2022,01,YouTube,Asia,Hip-Hop,Album,1739,2312,2143,1007,591,44,56,Mobile,323335,129134,134199,5.14487145153144,53,47,2366,2674,1651,00:00,39.46187435436707
2019,12,Amazon Music,North America,Hip-Hop,Single,1905,3297,2071,1074,1971,51,49,PS5,332149,448194,129487,7.956641807558348,46,54,2791,3106,4480,18:00,10.766523761612401
2024,10,Spotify,Asia,Hip-Hop,Single,1918,3630,3031,1409,1223,40,60,Desktop,205652,255903,73386,17.271904635214398,20,80,761,2587,1352,18:00,48.357825863383894
2022,09,Spotify,Japan,Rock,Album,1849,3991,2376,2375,1826,48,52,Tablet,386610,220457,84260,2.1386874314890147,13,87,820,703,4118,21:00,23.59203752067563
2020,10,Apple Music,Europe,Hip-Hop,Album,1631,3193,2997,1157,1299,60,40,Desktop,249131,282917,115225,17.280840386507833,11,89,955,3539,1660,21:00,10.038916429844171
2023,08,Apple Music,Africa,Hip-Hop,Single,2030,3809,2289,1573,548,54,46,Tablet,432999,431339,156573,18.90897556728309,63,37,3454,2138,135,21:00,14.339531492521974
2022,08,YouTube,Asia,Pop,EP,2004,3746,2408,2485,1691,48,52,PS5,127203,444890,187557,6.3032347812718195,64,36,2487,3310,1731,12:00,21.943916443895038
2019,07,Apple Music,Japan,Hip-Hop,Single,1189,3977,2040,1215,1117,53,47,Desktop,209210,352260,182401,12.376669634861681,21,79,984,1409,2954,06:00,13.219749019879762
2024,03,Spotify,Asia,Electronic,Album,2930,2477,2855,1899,1467,39,61,Desktop,442790,146090,195652,16.339534231890497,40,60,869,1764,1318,06:00,13.128896263553955
2023,09,Apple Music,South America,Electronic,Album,2346,3073,3376,1467,1748,51,49,Mobile,489319,334362,147319,16.431069782811438,26,74,162,944,3430,12:00,27.12796239365322
2020,02,YouTube,North America,Electronic,Single,2152,3987,2179,2424,2273,46,54,Tablet,170551,324869,136284,5.367311083560761,26,74,3347,950,3654,06:00,19.000952444390634
2019,09,YouTube,South America,Hip-Hop,EP,2736,3262,2334,1602,742,64,36,Mobile,415872,197867,119183,2.982788099112435,37,63,2970,886,4848,06:00,22.0298340167088
2020,12,Apple Music,North America,Electronic,Album,2230,2162,2683,2277,1344,62,38,Tablet,415220,396458,151390,4.795818022957455,40,60,144,4070,3957,21:00,36.17810837300427
2020,10,Spotify,Japan,Jazz,Single,1587,2168,3403,1471,1327,48,52,Desktop,484192,399439,165002,16.011583542435716,58,42,554,2066,4168,12:00,36.73591701734377
2023,02,Apple Music,South America,Electronic,Album,1248,3693,2235,1808,2105,35,65,Desktop,434592,248947,169030,6.9552675983661745,66,34,613,4107,2147,21:00,18.98763715772072
2020,04,Apple Music,Japan,Rock,Album,1313,3925,1684,1864,1213,38,62,PS5,250977,241839,56423,1.8893533733780672,25,75,4240,486,2833,00:00,6.875023680184981
2020,03,Amazon Music,Europe,Electronic,EP,2751,3040,2066,2770,848,63,37,PS5,394996,308769,77083,18.312896657108798,25,75,3160,3829,178,06:00,5.981260495330718
2022,08,YouTube,Japan,Rock,Single,1311,3111,3324,2347,1755,38,62,Mobile,464410,145601,176053,7.541990079881589,29,71,3836,3182,1137,18:00,8.67900599627749
2024,06,Amazon Music,North America,Pop,Single,2903,2354,1997,1959,1721,43,57,PS5,369173,141255,136547,15.848944908389182,25,75,1621,1722,1917,12:00,19.450857266922128
2022,06,Spotify,Asia,Jazz,Album,2458,2953,2823,1227,1560,59,41,Desktop,383957,158415,65300,15.776691401106955,32,68,4664,3567,3377,06:00,29.307516437377114
2019,01,Spotify,South America,Pop,EP,1865,3822,1988,2166,1625,35,65,PS5,187253,140950,195305,1.2181856639877022,38,62,1135,4567,2303,06:00,45.814814624282775
2020,05,Apple Music,South America,Classical,Album,1230,2257,3335,2931,1310,45,55,Desktop,358803,420641,194163,13.410498721882826,10,90,1175,4494,3372,21:00,19.36557439657091
2022,02,YouTube,South America,Pop,EP,1948,2379,1588,1423,1342,43,57,PS5,289153,351865,61724,18.305975386278483,69,31,1713,2154,342,06:00,49.0092412458824
2019,06,Spotify,Japan,Jazz,Single,1679,2444,2898,2349,2334,50,50,PS5,385296,104677,57366,13.737905217728093,11,89,4697,3035,2826,18:00,5.730579511586484
2022,04,YouTube,Japan,Hip-Hop,Album,2670,2890,2395,2742,1025,37,63,Tablet,323765,208668,62820,15.8762367598048,30,70,4480,356,330,12:00,17.017339692706912
2019,04,YouTube,Africa,Jazz,Single,2035,3961,2683,2718,2023,61,39,Mobile,417996,244888,114330,13.06771034474432,63,37,4297,4330,3402,21:00,14.439412211803912
2019,04,Amazon Music,Japan,Pop,EP,2940,2745,3232,2012,1708,54,46,Mobile,166088,134314,168215,5.607428766239189,60,40,4581,3654,4941,12:00,40.452118935410255
2024,01,Spotify,Asia,Classical,Album,2262,3072,1555,1566,1337,40,60,Mobile,215968,162125,147159,1.1205713885383641,12,88,4772,4645,4751,18:00,40.66820597341476
2022,05,Amazon Music,Europe,Rock,Album,1151,2719,3367,2076,1760,35,65,Desktop,398808,247312,58019,11.940419274438991,39,61,3265,2413,2750,12:00,28.199864039731874
2019,07,Amazon Music,Africa,Jazz,Album,1628,3292,2320,1554,1130,38,62,Desktop,312931,331663,161504,4.636607822077057,43,57,4950,4773,1550,21:00,27.76079859441549
2024,06,YouTube,Africa,Classical,Single,1918,2242,3330,2287,557,49,51,Mobile,133535,356205,83117,6.8249813342059475,64,36,1424,4802,1688,18:00,11.286476441285139
2020,03,Amazon Music,South America,Jazz,EP,2881,2466,2166,2451,654,55,45,Tablet,145968,248578,127312,8.978600142755202,36,64,4814,3720,3652,21:00,6.29984468575328
2024,08,Spotify,North America,Pop,Album,2378,3997,2676,1177,2187,59,41,Mobile,209644,278889,129476,12.095883957439234,38,62,338,2080,3835,12:00,36.11030908686248
2022,10,Apple Music,South America,Rock,Album,1822,2147,1540,2742,973,60,40,PS5,242458,359599,63564,10.892974443117325,18,82,1370,347,849,18:00,30.441261110670826
2020,03,Spotify,South America,Electronic,EP,1787,2478,1738,1674,1209,53,47,Desktop,191853,200999,98359,4.129203943478134,66,34,3211,1877,988,21:00,24.182438790130956
2020,06,Apple Music,South America,Jazz,EP,2888,2849,3157,1315,543,64,36,Tablet,450767,180346,96183,10.46407657827288,11,89,2915,3709,683,06:00,35.55607994488267
2024,08,Amazon Music,Asia,Jazz,Single,1184,2306,1695,1494,2378,60,40,Tablet,315365,438317,89035,10.578703706481999,42,58,1035,4437,4605,18:00,21.48022664329538
2023,01,Amazon Music,Asia,Rock,EP,1773,2249,3034,2151,747,37,63,Tablet,149467,410840,167479,7.566339468322024,68,32,581,548,1362,00:00,33.31311957226848
2023,11,Spotify,India,Pop,Single,1026,2520,1675,2755,1240,45,55,Mobile,303818,484229,59436,16.05406824914432,25,75,3046,3301,3643,00:00,42.446957436328375
2020,01,Spotify,South America,Electronic,EP,1141,2557,1809,1336,1979,44,56,Tablet,325488,364319,160802,8.704418335635907,9,91,398,1623,490,21:00,16.70739253304815
2019,01,Apple Music,Africa,Pop,EP,2955,2794,2702,1743,699,35,65,Mobile,388628,107074,90383,19.76055168111694,63,37,1286,4418,2576,18:00,34.04337955224402
2019,06,Amazon Music,Asia,Pop,Album,1475,2153,1752,2430,996,41,59,PS5,429026,314105,154578,4.250669794348841,34,66,2184,2897,2826,21:00,29.806638400901132
2022,04,YouTube,North America,Jazz,Single,2810,2818,2930,1795,1686,39,61,Tablet,188936,339237,192587,9.818517848683749,27,73,119,2373,4020,00:00,19.169439261486836
2022,08,Apple Music,Europe,Jazz,Single,1361,3479,2799,1703,1326,63,37,Tablet,288106,497400,97505,16.683581278932124,52,48,376,1332,396,06:00,28.01981289579589
2023,07,Amazon Music,Europe,Hip-Hop,EP,1530,2142,3135,1823,2017,35,65,PS5,196823,225290,174467,6.528305552666755,36,64,4645,4328,2445,18:00,12.740033368020534
2022,08,Amazon Music,Europe,Rock,Album,2371,3054,1960,2978,1266,46,54,Tablet,214114,467997,106174,13.295270188875776,66,34,2504,905,1997,21:00,12.181519852586595
2020,03,Amazon Music,Africa,Hip-Hop,EP,1253,2050,3185,1985,740,43,57,PS5,176909,287862,87728,12.529457337753472,14,86,4608,3886,3533,06:00,49.59498318700191
2024,02,Spotify,Asia,Jazz,EP,1849,3742,3138,1537,1068,59,41,Tablet,450787,409187,60500,15.281929935076517,49,51,2543,4935,194,00:00,17.876254760295446
2023,09,Spotify,Europe,Pop,EP,2574,3594,1601,1984,2029,42,58,Tablet,478544,414758,189657,18.88901772979926,66,34,2744,4376,211,18:00,25.096351966695998
2023,07,Apple Music,India,Electronic,Single,2111,3039,1634,2212,979,57,43,Tablet,269108,335792,141248,18.03665541690671,62,38,667,4461,2382,06:00,27.120175058918505
2022,10,Amazon Music,Japan,Electronic,Album,1689,3268,2586,2362,1984,63,37,Mobile,239111,312787,104815,12.103890516348603,37,63,3082,3358,2558,12:00,16.05134334833153
2023,02,Amazon Music,Africa,Pop,Single,1730,3736,2677,2417,1171,53,47,Desktop,340862,300214,99816,7.383999883740173,66,34,1115,4279,3295,06:00,40.22043951833054
2024,07,Amazon Music,South America,Classical,Album,2534,3393,3412,1320,2294,45,55,PS5,244299,102244,63223,2.810856234611752,33,67,607,170,3126,00:00,19.801705088172824
2024,04,Amazon Music,Europe,Electronic,Single,2650,2465,2918,2276,2071,49,51,PS5,108751,307807,156542,10.640654314660722,63,37,1723,4706,2005,00:00,43.97473538789961
2022,09,Amazon Music,North America,Hip-Hop,Single,2285,2686,1839,2837,1413,45,55,Desktop,469893,199411,57891,5.024291202235396,27,73,891,639,2595,12:00,28.514032919951553
2023,08,Spotify,South America,Pop,EP,1197,3741,2889,1277,967,36,64,Desktop,426308,410069,137560,15.80264244014626,18,82,4418,3799,3182,21:00,11.039792448338064
2019,08,YouTube,India,Jazz,Single,1426,3376,2680,2457,2474,56,44,Tablet,141267,466574,76623,10.107556598211401,9,91,2644,4509,4934,06:00,15.991552026218589
2019,03,YouTube,India,Jazz,EP,1695,2042,1641,2699,1772,63,37,Desktop,204233,364687,141151,17.687384592514434,18,82,746,898,3220,21:00,14.941034472521789
